Concurso,Dia,Mês,Ano,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Ganhadores 6 acertos,Ganhadores 5 acertos,Ganhadores 4 acertos,Rateio 6 acertos,Rateio 5 acertos,Rateio 4 acertos,Acumulado 6 acertos,Arrecadação Total,Estimativa prêmio,Acumulado Sorteio Especial Mega da Virada
2610,12,7,2023,10,23,34,53,55,57,0,97,6983,0,38165.5,757.36,32565194.23,64209900,40000000,58971587.11
1242,20,12,2010,11,34,45,48,51,54,0,19,2046,0,46855.32,621.59,25682508,15206152,29000000,58919043.21
2489,8,6,2022,3,10,13,25,41,42,0,92,6187,0,29078.19,617.69,34313545.28,46399621.5,40000000,58894230.46
1342,3,12,2011,5,7,42,46,50,60,0,102,8092,0,27452.98,494.35,25739230.68,47829560,31000000,58890372.31
1556,14,12,2013,1,4,7,10,11,52,0,549,26705,0,6125.83,179.9,33583180.67,57443904,40000000,58869336.52
1751,15,10,2015,15,22,23,42,51,57,0,47,4580,0,56298.89,825.34,32652357.92,45196469.5,40000000,58760099.22
1241,18,12,2010,10,13,25,26,28,45,0,181,12556,0,12479.72,257,24042571.82,38582506,26000000,58684766.59
2557,21,1,2023,3,13,16,25,27,33,0,261,16523,0,20176.41,455.29,51389137.98,91336333.5,63000000,5867364.13
2096,10,11,2018,6,11,13,19,24,51,0,185,10842,0,14941.13,364.2,27180430.89,47942611.5,33000000,58474875.1
2411,22,9,2021,7,26,29,34,43,44,0,35,2517,0,45154.92,896.99,2911303.81,27411471,7000000,58459813.02
1972,27,9,2017,9,16,20,54,57,59,0,85,5317,0,36786.15,840.11,40483704.13,54233763.5,47000000,58309595.26
1874,8,11,2016,10,28,37,43,44,47,0,16,1933,0,85109.69,1006.39,25420134.55,23619214.5,29000000,58223234.72
2488,4,6,2022,17,31,34,40,56,57,0,39,2541,0,54865.83,1202.99,3941676.88,37112980.5,9000000,58190232.19
1341,30,11,2011,1,11,20,37,40,52,0,90,6566,0,26529.68,519.48,20580961.4,40783200,25000000,58153476.7
2170,17,7,2019,10,21,24,36,38,51,0,79,4697,0,28962.87,695.9,16973996.11,39685793,22000000,58129046.82
1571,5,2,2014,3,29,32,46,55,60,0,176,11857,0,20467.75,434.02,33748171.78,61530392,41000000,5811425.14
1240,15,12,2010,8,9,12,22,42,49,0,123,8257,0,15840.7,337.1,19881568.56,33280228,24000000,58090337.54
1750,13,10,2015,15,17,20,31,41,48,0,23,1865,0,51788.31,912.39,27778059.26,20345405.5,32000000,58063770.83
1777,6,1,2016,4,19,38,44,52,55,0,62,3484,0,28129.17,715.1,4064145.66,30249282,7500000,580592.28
2609,8,7,2023,3,21,27,32,35,60,0,50,4420,0,61254.15,989.88,25745621.28,53120820,35000000,57997362.39
1555,11,12,2013,2,5,23,33,52,59,0,167,13033,0,16791.74,307.37,27388034.29,47898192,33000000,57984315.6
1873,5,11,2016,5,25,28,41,53,54,0,27,3152,0,61995.05,758.64,5623707.57,29032685.5,9000000,57864878.1
1749,10,10,2015,3,13,14,29,33,43,0,78,7101,0,28649.13,449.56,25583870.58,38169180,31000000,57750315.28
